omega,cooperativity,kon,v_s,D,tip_off,cooperativity_mode,run_folder
0.8,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0224
0.85,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0225
0.9,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0226
0.95,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0227
1.0,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0228
0.7,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0229
0.71,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0230
0.72,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0231
0.73,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0232
0.74,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0233
0.75,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0234
0.76,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0235
0.77,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0236
0.78,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0237
0.79,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0238
0.8,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0239
0.81,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0240
0.82,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0241
0.83,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0242
0.84,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0243
0.85,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0244
0.86,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0245
0.87,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0246
0.88,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0247
0.89,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0248
0.9,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0249
0.91,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0250
0.92,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0251
0.93,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0252
0.94,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0253
0.95,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0254
0.96,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0255
0.97,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0256
0.98,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0257
0.99,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0258
1.0,1,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0259
0.0,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0260
0.05,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0261
0.1,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0262
0.15,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0263
0.2,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0264
0.25,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0265
0.3,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0266
0.35,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0267
0.4,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0268
0.45,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0269
0.5,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0270
0.55,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0271
0.6,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0272
0.65,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0273
0.7,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0274
0.75,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0275
0.8,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0276
0.85,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0277
0.9,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0278
0.95,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0279
1.0,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0280
0.7,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0281
0.71,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0282
0.72,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0283
0.73,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0284
0.74,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0285
0.75,2,0.03591,0.39,0.011,0.0,mixed_antiparallel,runs_overlaps_2pf/scan/run0286
